SRX_accession	SRA_accession	series	GEO_accession	library_prep	library_	enrichment	platform	species	condition	origin_tissue	study_id	inflammatory_analysis	included.in.current.version	X1st.author	citation.PMID	ARCHS4	genotype	isolation_strategy	timecourse	model
SRX1066926	SRR2071716	GSE70068	GSM1716663	Illumina	single-end	mRNA	Illumina HiSeq 2000	Hs	HC	PB	Thomas HB 2015	TRUE	TRUE	Thomas HB	26401909	TRUE	NA	negative_selection	1h	in vitro
SRX1066927	SRR2071717	GSE70068	GSM1716664	Illumina	single-end	mRNA	Illumina HiSeq 2000	Hs	HC	PB	Thomas HB 2015	TRUE	TRUE	Thomas HB	26401909	TRUE	NA	Polymorphprep	1h	in vitro
SRX1066928	SRR2071718	GSE70068	GSM1716665	Illumina	single-end	mRNA	Illumina HiSeq 2000	Hs	GM.CSF	PB	Thomas HB 2015	TRUE	TRUE	Thomas HB	26401909	TRUE	NA	negative_selection	1h	in vitro
SRX1066929	SRR2071719	GSE70068	GSM1716666	Illumina	single-end	mRNA	Illumina HiSeq 2000	Hs	GM.CSF	PB	Thomas HB 2015	TRUE	TRUE	Thomas HB	26401909	TRUE	NA	Polymorphprep	1h	in vitro
SRX1066930	SRR2071720	GSE70068	GSM1716667	Illumina	single-end	mRNA	Illumina HiSeq 2000	Hs	TNF	PB	Thomas HB 2015	TRUE	TRUE	Thomas HB	26401909	TRUE	NA	negative_selection	1h	in vitro
SRX1066931	SRR2071721	GSE70068	GSM1716668	Illumina	single-end	mRNA	Illumina HiSeq 2000	Hs	TNF	PB	Thomas HB 2015	TRUE	TRUE	Thomas HB	26401909	TRUE	NA	Polymorphprep	1h	in vitro
SRX1066932	SRR2071722	GSE70068	GSM1716669	Illumina	single-end	mRNA	Illumina HiSeq 2000	Hs	HC	PB	Thomas HB 2015	TRUE	TRUE	Thomas HB	26401909	TRUE	NA	negative_selection	1h	in vitro
SRX1066933	SRR2071723	GSE70068	GSM1716670	Illumina	single-end	mRNA	Illumina HiSeq 2000	Hs	HC	PB	Thomas HB 2015	TRUE	TRUE	Thomas HB	26401909	TRUE	NA	Polymorphprep	1h	in vitro
SRX1066934	SRR2071724	GSE70068	GSM1716671	Illumina	single-end	mRNA	Illumina HiSeq 2000	Hs	GM.CSF	PB	Thomas HB 2015	TRUE	TRUE	Thomas HB	26401909	TRUE	NA	negative_selection	1h	in vitro
SRX1066935	SRR2071725	GSE70068	GSM1716672	Illumina	single-end	mRNA	Illumina HiSeq 2000	Hs	GM.CSF	PB	Thomas HB 2015	TRUE	TRUE	Thomas HB	26401909	TRUE	NA	Polymorphprep	1h	in vitro
SRX1066936	SRR2071726	GSE70068	GSM1716673	Illumina	single-end	mRNA	Illumina HiSeq 2000	Hs	TNF	PB	Thomas HB 2015	TRUE	TRUE	Thomas HB	26401909	TRUE	NA	negative_selection	1h	in vitro
